,0
hl_spread,0.1380451919722648
close_to_ema50,0.11311648596064428
log_return_5d,0.09620214147186697
volatility_10d,0.09329015026379629
close_to_sma50,0.09166942029092658
ema_100,0.05425360037972141
log_return_1d,0.05222063707891352
volume_change_1d,0.047425617724884565
atr_14,0.04680856603386477
cci_14,0.0447465429442949
macd,0.03403407817631047
rsi_14,0.03251497705723144
bollinger,0.02962466650434136
atr_7,0.026772556992930765
rsi_7,0.022790746272250664
cci_7,0.020146323135965347
sma_50,0.020017614686395183
sma_100,0.018402404741837398
ema_50,0.017918278311559278
