,0
hl_spread,0.13804519197226484
close_to_ema50,0.11311648596064415
log_return_5d,0.096202141471867
volatility_10d,0.09329015026379628
close_to_sma50,0.09166942029092662
ema_100,0.05425360037972146
log_return_1d,0.052220637078913563
volume_change_1d,0.04742561772488454
atr_14,0.04680856603386477
cci_14,0.044746542944294865
macd,0.03403407817631039
rsi_14,0.032514977057231505
bollinger,0.02962466650434134
atr_7,0.026772556992930793
rsi_7,0.02279074627225065
cci_7,0.020146323135965358
sma_50,0.02001761468639518
sma_100,0.018402404741837398
ema_50,0.017918278311559246
